categoria,centroide_lat,centroide_lon,funcion,id,municipio_id,nombre
Localidad simple,-23.2654412559675,-66.65566212419,,38084050,386168.0,MINA PROVIDENCIA
Localidad simple,-24.1152805507803,-66.7186508694002,,38084055,386168.0,OLACAPATO
Localidad simple,-23.3934649138842,-66.8017391151812,,38084060,386161.0,OLAROZ CHICO
Localidad simple,-23.7667799522763,-66.4362241723231,,38084070,386168.0,PASTOS CHICOS
Localidad simple,-23.9450800745364,-66.4880705176388,,38084080,386168.0,PUESTO SEY
Localidad simple,-23.2303525084842,-66.3437115747179,,38084090,386161.0,SAN JUAN DE QUILLAQUES
Localidad simple,-23.3993487788994,-66.3663509046119,CABECERA_DEPARTAMENTO,38084100,386161.0,SUSQUES
Localidad simple,-23.3926096474539,-65.3451196617441,,38094010,386175.0,COLONIA SAN JOSE
Localidad simple,-23.4369569456923,-65.3498233567527,,38094020,386175.0,HUACALERA
Localidad simple,-23.5175106247741,-65.4081712327054,,38094030,380329.0,JUELLA
Localidad simple,-23.6251650641141,-65.4090898914489,,38094040,386182.0,MAIMARA
Localidad simple,-23.5758626116634,-65.3936940685486,CABECERA_DEPARTAMENTO,38094050,380329.0,TILCARA
Localidad simple,-23.9826097875936,-65.4550931589626,,38098010,386203.0,BARCENA
Localidad simple,-23.850911537998,-65.8316510262887,,38098020,386189.0,EL MORENO
Localidad simple,-23.5715104796996,-65.698000202945,,38098025,386189.0,PUERTA DE COLORADOS
Localidad simple,-23.7450544260753,-65.5003903899528,,38098030,386189.0,PURMAMARCA
Localidad simple,-23.8561961637236,-65.4663650677456,CABECERA_DEPARTAMENTO,38098040,386196.0,TUMBAYA
Localidad simple,-23.9165986512201,-65.4655058903446,,38098050,386203.0,VOLCAN
Localidad simple,-23.3626169910686,-65.0914951382906,,38105010,386210.0,CASPALA
Localidad simple,-23.5548845300142,-65.0066887909795,,38105020,386217.0,PAMPICHUELA
Localidad simple,-23.6213393482903,-64.9501640840904,,38105030,386224.0,SAN FRANCISCO
Localidad simple,-23.3564321535763,-64.9877247699547,,38105040,386231.0,SANTA ANA
Localidad simple,-23.4139544374567,-64.93377255055,,38105050,386231.0,VALLE COLORADO
Localidad simple,-23.4758465611017,-64.9469047343162,CABECERA_DEPARTAMENTO,38105060,386238.0,VALLE GRANDE
Localidad simple,-22.2477578344269,-65.529042968307,,38112010,386245.0,BARRIOS
Localidad simple,-22.423791437897,-65.579872144671,,38112020,386252.0,CANGREJILLOS
Localidad simple,-22.3866192862254,-65.3395952168589,,38112030,386259.0,EL CONDOR
Localidad simple,-22.4230485492938,-65.7004227358985,,38112040,386266.0,LA INTERMEDIA
Localidad simple,-22.1064369293997,-65.5957257876868,CABECERA_DEPARTAMENTO,38112050,380406.0,LA QUIACA
Localidad simple,-22.5507612616611,-65.3872645925388,,38112060,386021.0,LLULLUCHAYOC
Localidad simple,-22.2899363240929,-65.6798827753743,,38112070,386266.0,PUMAHUASI
Localidad simple,-22.1299850014618,-65.4614703321096,,38112080,386273.0,YAVI
Localidad simple,-22.0983777844843,-65.4559189939558,,38112090,386273.0,YAVI CHICO
Localidad simple,-37.1521838816608,-64.0140550927574,,42007010,420112.0,DOBLAS
Localidad simple,-37.1369555361687,-63.667141835534,CABECERA_DEPARTAMENTO,42007020,420231.0,MACACHIN
Localidad simple,-36.8538749058938,-63.6881846143541,,42007030,420259.0,MIGUEL RIGLOS
Localidad simple,-37.166824214775,-63.4171582009534,,42007040,420322.0,ROLON
Localidad simple,-36.8406606874148,-63.5205021645149,,42007050,420364.0,TOMAS M. ANCHORENA
Localidad simple,-38.963052676569,-63.8608882456791,,42014010,420189.0,ANZOATEGUI
Componente de localidad compuesta,-38.9739618507806,-64.0893166949511,CABECERA_DEPARTAMENTO,42014020,420189.0,LA ADELA
Localidad simple,-36.527922625355,-64.0105558979729,,42021010,420028.0,ANGUIL
Componente de localidad compuesta,-36.61828979857,-64.2916770389461,CAPITAL_PROVINCIA,42021020,420336.0,SANTA ROSA
Localidad simple,-36.4077407331528,-63.4231236479695,CABECERA_DEPARTAMENTO,42028010,420077.0,CATRILO
Localidad simple,-36.5079177159884,-63.7444083139952,,42028020,420378.0,LA GLORIA
Localidad simple,-36.4676263417811,-63.6237223449231,,42028030,420217.0,LONQUIMAY
Localidad simple,-36.5077574745038,-63.8626307655783,,42028040,420378.0,URIBURU
Localidad simple,-35.9994878462166,-64.5959233383524,,42035010,420098.0,CONHELO
Localidad simple,-35.916589710926,-64.2945868368038,CABECERA_DEPARTAMENTO,42035020,420119.0,EDUARDO CASTEX
