id_registro,productos
465,YERBA MATE
466,CAÑA DE AZUCAR
467,CAÑA DE AZUCAR
468,YERBA MATE
468,TE
469,CAÑA DE AZUCAR
470,CAÑA DE AZUCAR
471,CAÑA DE AZUCAR
472,CAÑA DE AZUCAR
473,CAÑA DE AZUCAR
474,CAÑA DE AZUCAR
475,CAÑA DE AZUCAR
476,CAÑA DE AZUCAR
477,CAÑA DE AZUCAR
478,CAÑA DE AZUCAR
479,CAÑA DE AZUCAR
480,CAÑA DE AZUCAR
481,CAÑA DE AZUCAR
482,CAÑA DE AZUCAR
483,CAÑA DE AZUCAR
484,CAÑA DE AZUCAR
485,CAÑA DE AZUCAR
486,CAÑA DE AZUCAR
487,CAÑA DE AZUCAR
488,CAÑA DE AZUCAR
489,CAÑA DE AZUCAR
490,CAÑA DE AZUCAR
491,CAÑA DE AZUCAR
492,CAÑA DE AZUCAR
493,CAÑA DE AZUCAR
494,CAÑA DE AZUCAR
495,CAÑA DE AZUCAR
496,CAÑA DE AZUCAR
497,YERBA MATE
498,CAÑA DE AZUCAR
499,CAÑA DE AZUCAR
500,CAÑA DE AZUCAR
501,CAÑA DE AZUCAR
502,CAÑA DE AZUCAR
503,CAÑA DE AZUCAR
504,CAÑA DE AZUCAR
505,CAÑA DE AZUCAR
506,CAÑA DE AZUCAR
507,CAÑA DE AZUCAR
508,CAÑA DE AZUCAR
509,CAÑA DE AZUCAR
510,CAÑA DE AZUCAR
511,CAÑA DE AZUCAR
512,YERBA MATE
513,CAÑA DE AZUCAR
514,CAÑA DE AZUCAR
515,CAÑA DE AZUCAR
516,CAÑA DE AZUCAR
517,CAÑA DE AZUCAR
518,CAÑA DE AZUCAR
519,CAÑA DE AZUCAR
520,CAÑA DE AZUCAR
521,CAÑA DE AZUCAR
522,CAÑA DE AZUCAR
523,CAÑA DE AZUCAR
524,CAÑA DE AZUCAR
525,CAÑA DE AZUCAR
526,CAÑA DE AZUCAR
527,CAÑA DE AZUCAR
528,YERBA MATE
529,CAÑA DE AZUCAR
530,CAÑA DE AZUCAR
531,CAÑA DE AZUCAR
532,CAÑA DE AZUCAR
533,CAÑA DE AZUCAR
534,CAÑA DE AZUCAR
535,YERBA MATE
536,TE
536,YERBA MATE
537,CAÑA DE AZUCAR
538,CAÑA DE AZUCAR
539,SIN PROD.
540,TE
541,CAÑA DE AZUCAR
542,YERBA MATE
543,CAÑA DE AZUCAR
544,CAÑA DE AZUCAR
545,CAÑA DE AZUCAR
