id_registro,rubro
907,HORTICULTURA
909,GANADERIA
910,GANADERIA
911,GANADERIA
912,GANADERIA
913,GANADERIA
914,GANADERIA
915,ACUICULTURA
916,GANADERIA
917,GANADERIA
918,GANADERIA
919,GANADERIA
920,GANADERIA
921,GANADERIA
922,GANADERIA
923,AGRICULTURA
924,AGRICULTURA
925,FRUTICULTURA
926,APICULTURA
927,APICULTURA
928,APICULTURA
929,AGRICULTURA
930,GANADERIA
931,GANADERIA
932,GANADERIA
933,FRUTICULTURA
933,HORTICULTURA
934,APICULTURA
935,APICULTURA
936,APICULTURA
937,APICULTURA
938,AGRICULTURA
939,HORTICULTURA
940,AGRICULTURA
941,APICULTURA
942,APICULTURA
943,APICULTURA
944,APICULTURA
945,HORTICULTURA
946,APICULTURA
947,AGRICULTURA
948,APICULTURA
949,FRUTICULTURA
949,HORTICULTURA
950,FRUTICULTURA
950,HORTICULTURA
951,FRUTICULTURA
951,HORTICULTURA
952,FRUTICULTURA
952,HORTICULTURA
953,FRUTICULTURA
953,HORTICULTURA
954,FRUTICULTURA
954,HORTICULTURA
955,FRUTICULTURA
955,HORTICULTURA
956,FRUTICULTURA
956,HORTICULTURA
957,AGRICULTURA
958,FRUTICULTURA
959,FRUTICULTURA
959,HORTICULTURA
960,FRUTICULTURA
960,HORTICULTURA
961,FRUTICULTURA
961,HORTICULTURA
962,AGRICULTURA
963,FRUTICULTURA
964,AGRICULTURA
965,FRUTICULTURA
965,HORTICULTURA
966,FRUTICULTURA
966,HORTICULTURA
967,AGRICULTURA
968,FRUTICULTURA
968,HORTICULTURA
969,GANADERIA
970,GANADERIA
971,GANADERIA
972,ACUICULTURA
973,PRODUCTOS PARA EL CUIDADO PERSONAL
974,PROCESAMIENTO APICOLA
975,PROCESAMIENTO FRUTALES Y HORTALIZAS
976,PROCESAMIENTO APICOLA
977,PROCESAMIENTO CEREALES Y OLEAGINOSAS
978,PROCESAMIENTO FRUTALES Y HORTALIZAS
979,ACOPIO Y ACONDICIONAMIENTO DE GRANOS
980,ELABORACION Y EXTRACCION DE ACEITE
981,ACOPIO Y ACONDICIONAMIENTO DE GRANOS
982,ACOPIO Y ACONDICIONAMIENTO DE GRANOS
983,ACOPIO Y ACONDICIONAMIENTO DE GRANOS
984,PROCESAMIENTO CULTIVOS INDUSTRIALES
985,PROCESAMIENTO FRUTALES Y HORTALIZAS
986,EMPAQUE DE HORTALIZAS
987,INDUSTRIALIZACION DE YERBA MATE
988,FRACCIONAMIENTO DE MIEL
989,PROCESAMIENTO CULTIVOS INDUSTRIALES
990,PROCESAMIENTO CEREALES Y OLEAGINOSAS
991,"FRACCIONAMIENTO DE TE, YERBA MATE"
992,PROCESAMIENTO APICOLA
993,OTROS
994,ACOPIO Y ACONDICIONAMIENTO DE GRANOS
995,EMPAQUE DE FRUTAS NO CITRICAS
996,PROCESAMIENTO CEREALES Y OLEAGINOSAS
997,INDUSTRIA LACTEA
